Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,,Genre,,Director,,,,Rank
The King's Affection,"Oct 11, 2021 - Dec 14, 2021",2021,"KBS2, Netflix","Monday, Tuesday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Historical, Romance, Drama",,"Song Hyun Wook, Lee Hyun Suk",,,,#238
A Gentleman's Dignity,"May 26, 2012 - Aug 12, 2012",2012,SBS,"Saturday, Sunday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Comedy, Romance, Drama, Melodrama",,"Kwon Hyuk Chan, Shin Woo Cheol, Kim Jung Hyun",,,,#239
Rookie Historian Goo Hae Ryung,"Jul 17, 2019 - Sep 26, 2019",2019,"MBC, Netflix","Wednesday, Thursday",40,35 min.,15+ - Teens 15 or older,8.3,,"Historical, Comedy, Romance, Drama",,"Kang Il Soo, Han Hyun Hee",,,,#240
Coffee Prince,"Jul 2, 2007 - Aug 28, 2007",2007,MBC,"Monday, Tuesday",17,60 min.,15+ - Teens 15 or older,8.3,,"Food, Comedy, Romance, Drama",,Lee Yoon Jung,,,,#241
Ghost,"May 30, 2012 - Aug 9, 2012",2012,SBS,"Wednesday, Thursday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery",,"Kim Hyung Shik, Park Shin Woo",,,,#242
Love Playlist: Season 4,"Jun 19, 2019 - Aug 10, 2019",2019,"Naver TV Cast, vLive","Wednesday, Saturday",16,20 min.,15+ - Teens 15 or older,8.3,,"Romance, Life, Youth, Drama",,Yoo Hee Woon,,,,#243
God's Quiz: Reboot,"Nov 14, 2018 - Jan 10, 2019",2018,OCN,"Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Mystery, Medical",,Kim Jong Hyeok,,,,#244
Missing Noir M,"Mar 28, 2015 - May 30, 2015",2015,OCN,Saturday,10,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Drama",,Lee Seung Young,,,,#245
Live Up to Your Name,"Aug 12, 2017 - Oct 1, 2017",2017,tvN,"Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Historical, Romance, Medical, Fantasy",,Hong Jong Chan,,,,#246
Queen for Seven Days,"May 31, 2017 - Aug 3, 2017",2017,KBS2,"Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.3,,"Historical, Romance, Melodrama, Political",,Lee Jung Sub,,,,#247
Memory,"Mar 18, 2016 - May 7, 2016",2016,tvN,"Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Law, Romance, Life, Drama",,Park Chan Hong,,,,#248
A Korean Odyssey,"Dec 23, 2017 - Mar 4, 2018",2017,"Netflix, tvN","Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,8.3,,"Horror, Comedy, Romance, Fantasy",,"Park Hong Kyun, Kim Jung Hyun, Kim Byung Soo",,,,#249
Voice 4: Judgment Hour,"Jun 18, 2021 - Jul 31, 2021",2021,tvN,"Friday, Saturday",14,1 hr. 3 min.,15+ - Teens 15 or older,8.3,,"Action, Thriller, Mystery, Crime",,"Shin Yong Hwi, Yoon Ra Young",,,,#250
