Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,,Genre,,Director,,,,Rank
Beyond Evil,"Feb 19, 2021 - Apr 10, 2021",2021,jTBC," Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,,"Thriller,  Mystery,  Psychological,  Drama ",,Shim Na Yeon,,,,#38
Racket Boys,"May 31, 2021 - Aug  9, 2021",2021,"Netflix,  SBS "," Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.8,,"Friendship,  Comedy,  Youth,  Sports ",,Jo Young Kwang,,,,#39
Hometown Cha-Cha-Cha,"Aug 28, 2021 - Oct 17, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.8,,"Comedy,  Romance,  Life ",,Yoo Je Won,,,,#40
Six Flying Dragons,"Oct  5, 2015 - Mar 22, 2016",2015,SBS," Monday, Tuesday",50,60 min.,15+ - Teens 15 or older,8.8,,"Action,  Historical,  Drama,  Political ",,Shin Kyung Soo,,,,#41
Our Beloved Summer,"Dec 6, 2021 - Jan 25, 2022",2021,"Netflix, SBS","Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.7,,"Romance, Life, Youth, Drama ",,Kim Yoon Jin,,,,#42
The Guest,"Sep 12, 2018 - Nov  1, 2018",2018,OCN," Wednesday, Thursday",16,1 hr. 7 min.,18+ Restricted (violence & profanity),8.8,,"Thriller,  Mystery,  Horror,  Supernatural ",,Kim Hong Seon,,,,#43
Dear My Friends,"May 13, 2016 - Jul  2, 2016",2016,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,,"Life,  Drama,  Family,  Melodrama ",,Hong Jong Chan,,,,#44
While You Were Sleeping,"Sep 27, 2017 - Nov 16, 2017",2017,SBS," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.7,,"Mystery,  Romance,  Drama,  Fantasy ",,"Oh Choong Hwan, Park Soo Jin",,,,#45
The Penthouse 2,"Feb 19, 2021 - Apr  2, 2021",2021,SBS," Friday, Saturday",13,1 hr. 15 min.,15+ - Teens 15 or older,8.8,,"Thriller,  Mystery,  Drama,  Family ",,Joo Dong Min,,,,#46
Chicago Typewriter,"Apr  7, 2017 - Jun  3, 2017",2017,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,,"Comedy,  Romance,  Supernatural,  Political ",,Kim Chul Gyu,,,,#47
18 Again,"Sep 21, 2020 - Nov 10, 2020",2020,jTBC," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,,"Romance,  Life,  Drama,  Fantasy ",,Ha Byung Hoon,,,,#48
Arthdal Chronicles Part 2,"Jun 22, 2019 - Jul  7, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 21 min.,15+ - Teens 15 or older,8.7,,"Historical,  Romance,  Fantasy,  Political ",,Kim Won Suk,,,,#49
Arthdal Chronicles Part 3,"Sep  7, 2019 - Sep 22, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.7,,"Historical,  Romance,  Fantasy,  Political ",,Kim Won Suk,,,,#50
Through the Darkness,"Jan 14, 2022 - Mar 12, 2022",2022,SBS,"Friday, Saturday",12,1 hr. 10 min.,18+ Restricted (violence & profanity),8.7,,"Thriller, Mystery, Crime, Drama ",,"Kim Jae Hong, Park Bo Ram",,,,#51
Dr. Romantic 2,"Jan  6, 2020 - Feb 25, 2020",2020,SBS," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,,"Romance,  Drama,  Medical,  Melodrama ",,"Yoo In Shik, Lee Gil Bok",,,,#52
Defendant,"Jan 23, 2017 - Mar 21, 2017",2017,SBS," Monday, Tuesday",18,1 hr. 10 min.,15+ - Teens 15 or older,8.7,,"Thriller,  Mystery,  Law,  Drama ",,"Jo Young Kwang, Jung Dong Yoon",,,,#53
Our Blues,"Apr 9, 2022 - Jun 12, 2022",2022,"Netflix, tvN","Saturday, Sunday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.7,,"Romance, Life, Drama, Melodrama",,"Kim Kyu Tae, Lee Jung Mook",,,,#54
Sweet Home,18-Dec-20,2020,Netflix,Friday,10,52 min.,18+ Restricted (violence & profanity),8.7,,"Horror,  Drama,  Sci-Fi,  Supernatural ",,Lee Eung Bok,,,,#55
"Kill Me, Heal Me","Jan  7, 2015 - Mar 12, 2015",2015,MBC," Wednesday, Thursday",20,1 hr. 2 min.,15+ - Teens 15 or older,8.7,,"Psychological,  Comedy,  Romance,  Drama ",,"Kim Jin Man, Kim Dae Jin",,,,#56
Moon Lovers,"Aug 29, 2016 - Nov  1, 2016",2016,SBS," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,,"Historical,  Romance,  Melodrama ",,Kim Kyu Tae,,,,#57
A Business Proposal,"Feb 28, 2022 - Apr 5, 2022",2022,"Netflix, SBS","Monday, Tuesday",12,60 min.,15+ - Teens 15 or older,8.7,,"Comedy, Romance, Drama",,Park Seon Ho,,,,#58
Misaeng,"Oct 17, 2014 - Dec 20, 2014",2014,tvN," Friday, Saturday",20,1 hr. 20 min.,15+ - Teens 15 or older,8.7,,"Friendship,  Business,  Life,  Drama ",,Kim Won Suk,,,,#59
Strong Woman Do Bong Soon,"Feb 24, 2017 - Apr 15, 2017",2017,jTBC," Friday, Saturday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.7,,"Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural ",,Lee Hyung Min,,,,#60
The Fiery Priest,"Feb 15, 2019 - Apr 20, 2019",2019,SBS," Friday, Saturday",40,35 min.,15+ - Teens 15 or older,8.7,,"Action,  Mystery,  Comedy,  Crime ",,Lee Myung Woo,,,,#61
My Name,15-Oct-21,2021,Netflix,Friday,8,50 min.,18+ Restricted (violence & profanity),8.7,,"Action,  Thriller,  Crime ",,Kim Jin Min,,,,#62
Hotel del Luna,"Jul 13, 2019 - Sep  1, 2019",2019,tvN," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.7,,"Horror,  Comedy,  Romance,  Fantasy ",,Oh Choong Hwan,,,,#63
Hot Stove League,"Dec 13, 2019 - Feb 14, 2020",2019,SBS," Friday, Saturday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.7,,"Drama,  Sports,  Melodrama ",,Jung Dong Yoon,,,,#64
Dr. Romantic,"Nov  7, 2016 - Jan 16, 2017",2016,SBS," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,,"Romance,  Drama,  Medical ",,"Yoo In Shik, Park Soo Jin",,,,#65
Descendants of the Sun,"Feb 24, 2016 - Apr 14, 2016",2016,KBS2," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.7,,"Action,  Comedy,  Romance,  Melodrama ",,"Baek Sang Hoon, Lee Eung Bok",,,,#66
Law School,"Apr 14, 2021 - Jun  9, 2021",2021,"jTBC,  Netflix "," Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.7,,"Mystery,  Law,  Crime,  Drama ",,Kim Seok Yoon,,,,#67
Strangers from Hell,"Aug 31, 2019 - Oct  6, 2019",2019,OCN," Saturday, Sunday",10,60 min.,15+ - Teens 15 or older,8.7,,"Thriller,  Horror,  Psychological,  Drama ",,Lee Chang Hee,,,,#68
Live,"Mar 10, 2018 - May  6, 2018",2018,"Netflix,  tvN "," Saturday, Sunday",18,1 hr. 15 min.,15+ - Teens 15 or older,8.7,,"Friendship,  Comedy,  Romance,  Crime ",,"Kim Kyu Tae, Myung Hyun Woo",,,,#69
Tunnel,"Mar 25, 2017 - May 21, 2017",2017,OCN," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.7,,"Thriller,  Mystery,  Sci-Fi,  Fantasy ",,"Nam Ki Hoon, Shin Yong Hwi",,,,#70
My Liberation Notes,"Apr 9, 2022 - May 29, 2022",2022,"jTBC, Netflix","Saturday, Sunday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.6,,"Romance, Life, Drama, Melodrama",,Kim Seok Yoon,,,,#71
Partners for Justice 2,"Jun  3, 2019 - Jul 29, 2019",2019,MBC," Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.6,,"Mystery,  Law,  Drama,  Medical ",,"Noh Do Cheol, Han Jin Sun",,,,#72
Jewel in the Palace,"Sep 15, 2003 - Mar 23, 2004",2003,MBC," Monday, Tuesday",54,1 hr. 5 min.,13+ - Teens 13 or older,8.6,,"Food,  Historical,  Romance,  Medical ",,Lee Byung Hoon,,,,#73
"It's Okay, That's Love","Jul 23, 2014 - Sep 11, 2014",2014,SBS," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.6,,"Psychological,  Comedy,  Romance,  Drama ",,Kim Kyu Tae,,,,#74
Little Women,"Sep 3, 2022 - Oct 9, 2022",2022,"Netflix, tvN","Saturday, Sunday",12,1 hr. 15 min.,15+ - Teens 15 or older,8.6,,"Action, Thriller, Mystery, Drama",,Kim Hee Won,,,,#75
Ghost Doctor,"Jan 3, 2022 - Feb 22, 2022",2022,tvN,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,,"Comedy, Medical, Fantasy, Supernatural",,Boo Sung Chul,,,,#76
Eulachacha Waikiki,"Feb  5, 2018 - Apr 17, 2018",2018,jTBC," Monday, Tuesday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.6,,"Comedy,  Life,  Youth,  Drama ",,Lee Chang Min,,,,#77
The Bridal Mask,"May 30, 2012 - Sep  6, 2012",2012,KBS2," Wednesday, Thursday",28,1 hr. 5 min.,15+ - Teens 15 or older,8.6,,"Action,  Historical,  Romance,  Political ",,"Yoon Sung Shik, Cha Young Hoon",,,,#78
Children of Nobody,"Nov 21, 2018 - Jan 16, 2019",2018,MBC," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.6,,"Thriller,  Mystery,  Psychological,  Crime,  Drama ",,Choi Jung Gyu,,,,#79
Good Manager,"Jan 25, 2017 - Mar 30, 2017",2017,KBS2," Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.6,,"Business,  Comedy,  Crime,  Drama ",,"Lee Jae Hoon, Choi Yoon Seok",,,,#80
The King of Pigs,"Mar 18, 2022 - Apr 22, 2022",2022,tvN,Friday,12,55 min.,18+ Restricted (violence & profanity),8.6,,"Thriller, Mystery, Drama",,Kim Dae Jin,,,,#81
Big Mouth,"Jul 29, 2022 - Sep 17, 2022",2022,"Hulu, MBC","Friday, Saturday",16,1 hr. 11 min.,15+ - Teens 15 or older,8.6,,"Thriller, Mystery, Law, Drama",,"Oh Choong Hwan, Bae Hyun Jin",,,,#82
Go Back Couple,"Oct 13, 2017 - Nov 18, 2017",2017,KBS2," Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,,"Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ",,Ha Byung Hoon,,,,#83
Empress Ki,"Oct 28, 2013 - Apr 29, 2014",2013,MBC," Monday, Tuesday",51,1 hr. 5 min.,15+ - Teens 15 or older,8.6,,"Historical,  Romance,  Melodrama,  Political ",,"Han Hee, Lee Sung Joon",,,,#84
My Father is Strange,"Mar  4, 2017 - Aug 27, 2017",2017,KBS2," Saturday, Sunday",52,1 hr. 6 min.,15+ - Teens 15 or older,8.6,,"Comedy,  Romance,  Drama,  Family ",,Lee Jae Sang,,,,#85
Once Again,"Mar 28, 2020 - Sep 13, 2020",2020,KBS2," Saturday, Sunday",100,35 min.,15+ - Teens 15 or older,8.6,,"Comedy,  Romance,  Drama,  Family ",,Lee Jae Sang,,,,#86
